1N-Z,N,Z,A,EL,O,Mass Excess,Mass Excess Error,Mass Excess Experimental,Binding Energy/A,Binding Energy/A Error,Binding Energy/A Experimental,Beta Type,Beta-Decay Energy,Beta-Decay Energy Error,Beta-Decay Energy Experimental,Atomic Mass,Atomic Mass Error,Atomic Mass Experimental
41,96,55,151,Cs,x,-34230.0,500.0,False,8013.0,3.0,False,B-,10710.0,640.0,False,150963253.0,537.0,False
39,95,56,151,Ba,x,-44940.0,400.0,False,8079.0,3.0,False,B-,8370.0,591.0,False,150951755.0,429.0,False
37,94,57,151,La,x,-53310.333,435.473,True,8129.043000000001,2.884,True,B-,7914.718000000001,435.833,True,150942769.0,467.5,True
35,93,58,151,Ce,x,-61225.052,17.698,True,8176.276999999999,0.11699999999999999,True,B-,5554.578,21.189,True,150934272.2,19.0,True
33,92,59,151,Pr,,-66779.63,11.651,True,8207.881,0.077,True,B-,4163.358,11.689,True,150928309.114,12.507,True
31,91,60,151,Nd,,-70942.988,1.2930000000000001,True,8230.271999999999,0.009000000000000001,True,B-,2443.075,4.473,True,150923839.565,1.3869999999999998,True
29,90,61,151,Pm,,-73386.063,4.6530000000000005,True,8241.27,0.031,True,B-,1190.2169999999999,4.476,True,150921216.817,4.994,True
27,89,62,151,Sm,,-74576.27900000001,1.273,True,8243.971,0.008,True,B-,76.574,0.5379999999999999,True,150919939.066,1.367,True
25,88,63,151,Eu,,-74652.854,1.325,True,8239.296999999999,0.009000000000000001,True,B-,-464.116,2.779,True,150919856.86,1.422,True
23,87,64,151,Gd,,-74188.73700000001,3.056,True,8231.043,0.02,True,B-,-2565.2329999999997,3.762,True,150920355.109,3.28,True
21,86,65,151,Tb,,-71623.504,4.137,True,8208.873,0.027000000000000003,True,B-,-2871.099,4.944,True,150923109.00100002,4.441,True
19,85,66,151,Dy,-a,-68752.405,3.293,True,8184.678000000001,0.022000000000000002,True,B-,-5129.667,8.756,True,150926191.253,3.535,True
17,84,67,151,Ho,-a,-63622.738,8.302,True,8145.526,0.055,True,B-,-5356.454000000001,18.444000000000003,True,150931698.17700002,8.912,True
15,83,68,151,Er,x,-58266.28400000001,16.47,True,8104.871999999999,0.109,True,B-,-7493.528,25.46,True,150937448.567,17.680999999999997,True
13,82,69,151,Tm,+a,-50772.755999999994,19.416,True,8050.064,0.129,True,B-,-9230.414,300.13599999999997,True,150945493.201,20.843000000000004,True
11,81,70,151,Yb,ep,-41542.342000000004,300.492,True,7983.755,1.99,True,B-,-11434.0,425.0,False,150955402.458,322.591,True
9,80,71,151,Lu,-p,-30108.0,300.0,False,7903.0,2.0,False,B-,,,True,150967677.0,322.0,False
42,97,55,152,Cs,x,-28930.0,500.0,False,7979.0,3.0,False,B-,12780.0,640.0,False,151968942.0,537.0,False
40,96,56,152,Ba,x,-41710.0,400.0,False,8057.0,3.0,False,B-,7580.0,500.0,False,151955222.0,429.0,False
38,95,57,152,La,x,-49290.0,300.0,False,8102.0,2.0,False,B-,9690.0,361.0,False,151947085.0,322.0,False
